,ts,filtered_altitude_AGL,filtered_acceleration
0,31176,-0.058131031692028046,-0.009020805358886719
1,31186,-0.08455422520637512,-0.004509925842285156
2,31196,-0.11626206338405609,-0.004509925842285156
3,31206,-0.11626206338405609,-0.004509925842285156
4,31216,-0.11626206338405609,-0.004509925842285156
5,31226,-0.11626206338405609,-0.004509925842285156
6,31236,-0.11626206338405609,-0.004509925842285156
7,31246,-0.11626206338405609,0.0
8,31256,-0.17439310252666473,0.0
9,31266,-0.17439310252666473,0.009020805358886719
