,ts,error
0,-0.37,1040
1,-0.321,3088
2,-0.31,3072
3,-0.28,3088
4,-0.25,3072
5,-0.21,3088
6,-0.131,1040
7,-0.04,1024
8,-0.02,1040
9,0.0,1024
10,0.08,1040
11,0.09,1024
12,0.31,1040
13,0.32,1024
14,0.34,1040
15,0.39,1024
16,0.4,1040
17,0.47,1024
18,0.479,3072
19,0.55,3088
20,0.57,3072
21,0.58,3088
22,0.659,1040
23,0.66,1024
24,0.74,1040
25,0.8,1024
26,0.81,1040
27,0.86,1024
28,0.91,1040
29,0.94,1024
30,0.99,1040
31,1.0,1024
32,1.04,1040
33,1.11,1024
34,1.17,1040
35,1.24,1024
36,1.27,1040
37,1.36,1024
38,1.37,1040
39,1.38,1024
40,1.42,1040
41,1.47,1024
42,1.52,1040
43,1.57,1024
44,1.59,1040
45,1.62,1024
46,1.63,1040
47,1.64,1024
48,1.65,1040
49,1.69,1024
50,1.75,1040
51,1.8,1024
52,1.81,1040
53,1.84,1024
54,1.89,1040
55,1.9,1024
56,1.95,1040
57,1.97,1024
58,1.98,1040
59,2.0,1024
60,2.01,1040
61,2.08,1024
62,2.12,1040
63,2.14,1024
64,2.16,1040
65,2.199,3088
66,2.219,1040
67,2.25,1024
68,2.28,1040
69,2.309,3088
70,2.37,3072
71,2.41,3088
72,2.43,3072
73,2.45,3088
74,2.46,3072
75,2.499,1024
76,2.53,1040
77,2.619,3088
78,2.63,3072
79,2.69,3088
80,2.749,1040
81,2.82,1024
82,2.83,1040
83,2.84,1024
84,2.93,1040
85,2.95,1024
86,2.97,1040
87,3.04,1024
88,3.179,3072
89,3.189,1024
90,3.21,1040
91,3.22,1024
92,3.24,1040
93,3.26,1024
94,3.35,1040
95,3.36,1024
96,3.45,1040
97,3.48,1024
98,3.5,1040
99,3.52,1024
100,3.53,1040
101,3.57,1024
102,3.62,1040
103,3.69,1024
104,3.82,1040
105,3.88,1024
106,3.91,1040
107,3.99,1024
108,4.2,1040
109,4.29,1024
110,4.33,1040
111,4.37,1024
112,4.519,3072
113,4.539,1024
114,4.55,1040
115,4.56,1024
116,4.73,1040
117,4.83,1024
118,4.85,1040
119,4.95,1024
120,5.13,1040
121,5.16,1024
122,5.18,1040
123,5.25,1024
124,5.27,1040
125,5.32,1024
126,5.48,1040
127,5.56,1024
128,5.58,1040
129,5.63,1024
130,5.68,1040
131,5.75,1024
132,5.8,1040
133,5.97,1024
134,6.09,1040
135,6.22,1024
136,6.3,1040
137,6.639,3088
138,6.64,3072
139,6.68,3088
140,6.749,1040
141,6.81,1024
142,6.84,1040
143,6.85,1024
144,6.87,1040
145,6.9,1024
146,6.93,1040
147,6.97,1024
148,7.04,1040
149,7.059,3088
150,7.06,3072
151,7.19,3088
152,7.209,1040
153,7.299,3088
154,7.32,3072
155,7.39,3088
156,7.419,1040
157,7.58,1024
158,7.599,3072
159,7.61,3088
160,7.619,1040
161,7.779,3088
162,7.809,1040
163,7.89,1024
164,7.91,1040
165,7.959,3088
166,7.969,1040
167,8.06,1024
168,8.179,3072
169,8.239,1024
170,8.329,3072
171,8.359,1024
172,8.39,1040
173,8.479,3088
174,8.489,1040
175,8.649,3088
176,8.68,3072
177,8.7,3088
178,8.79,3072
179,8.81,3088
180,8.84,3072
181,8.959,1024
182,9.049,3072
183,9.19,3088
184,9.249,1040
185,9.25,1024
186,9.339,3072
187,9.38,3088
188,9.399,1040
189,9.489,3088
190,9.589,1040
191,9.67,1024
192,9.749,3072
193,9.79,3088
194,9.88,3072
195,9.99,3088
196,10.049,1040
197,10.11,1024
198,10.179,3072
199,10.18,3088
200,10.34,3072
201,10.399,1024
202,10.599,3072
203,10.82,3088
204,10.969,1040
205,11.069,3088
206,11.15,3072
207,11.159,1024
208,11.279,3072
209,11.389,1024
210,11.539,3072
211,11.54,3088
212,11.589,1040
213,11.68,1024
214,11.84,1040
215,11.86,1024
216,11.869,3072
217,11.909,1024
218,11.99,1040
219,12.0,1024
220,12.03,1040
221,12.289,3088
222,12.299,1040
223,12.469,3088
224,12.529,1040
225,12.59,1024
226,12.619,3072
227,12.719,1024
228,12.809,3072
229,12.829,1024
230,12.93,1040
231,13.12,1024
232,13.23,1040
233,13.359,3088
234,13.389,1040
235,13.42,1024
236,13.489,3072
237,13.619,1024
238,13.62,1040
239,13.709,3088
240,13.729,1040
241,13.75,1024
242,14.22,1040
243,14.249,3088
244,14.449,1040
245,14.75,1024
246,14.769,3072
247,14.809,1024
248,15.14,1040
249,15.149,3088
250,15.2,3072
251,15.239,1024
252,15.329,3072
253,15.359,1024
254,15.43,1040
255,15.469,3088
256,15.48,3072
257,15.539,1024
258,16.07,1040
259,16.15,1024
260,16.52,1040
261,16.79,1024
262,16.9,1040
263,16.94,1024
264,17.31,1040
265,17.479,3088
266,17.52,3072
267,17.569,1024
268,17.57,1040
269,17.659,3088
270,17.689,1040
271,18.31,1024
272,18.98,1040
273,19.159,3088
274,19.179,1040
275,19.39,1024
276,19.78,1040
277,19.879,3088
278,19.899,1040
279,20.05,1024
280,20.099,3072
281,20.179,1024
282,20.22,1040
283,20.3,1024
284,20.359,3072
285,20.469,1024
286,20.559,3072
287,20.61,3088
288,20.629,1040
289,20.72,1024
290,20.809,3072
291,20.839,1024
292,21.14,1040
293,21.2,1024
